Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
963,14.0,,21.27394898,92.10445046,0,link,10963,N1,,415.08781,5820.0,24.0,0.01972062448644207,,
964,23.5,A,21.27389217,92.10447857,,bridge,10964,N1,,415.11131,5820.0,24.0,0.01972062448644207,,
965,281.0,,21.27275191,92.10504283,0,link,10965,N1,,415.39231,5820.0,24.0,0.01972062448644207,,
966,23.5,A,21.27161164,92.10560708,,bridge,10966,N1,,415.41581,5820.0,24.0,0.01972062448644207,,
967,603.0,,21.26962646,92.10738004,0,link,10967,N1,,416.01881,5820.0,24.0,0.01972062448644207,,
968,11.1,C,21.26764127,92.10915299,,bridge,10968,N1,,416.02991,5820.0,24.0,0.01972062448644207,,
969,94.0,,21.26738741,92.10951252,0,link,10969,N1,,416.12390999999997,5820.0,24.0,0.01972062448644207,,
970,50.6,C,21.26713354,92.10987205,,bridge,10970,N1,,416.17451,5820.0,24.0,0.01972062448644207,,
971,287.0,,21.26635845,92.11096976,0,link,10971,N1,,416.46151000000003,5820.0,24.0,0.01972062448644207,,
972,11.5,C,21.26558335,92.11206748,,bridge,10972,N1,,416.47301,5820.0,24.0,0.01972062448644207,,
973,954.0,,21.26281536,92.11552678,0,link,10973,N1,,417.42701,5820.0,24.0,0.01972062448644207,,
974,6.6,C,21.26004737,92.11898609,,bridge,10974,N1,,417.43361,5820.0,24.0,0.01972062448644207,,
975,241.0,,21.2593358,92.11985204,0,link,10975,N1,,417.67461,5820.0,24.0,0.01972062448644207,,
976,2.4,A,21.25862422,92.12071798,,bridge,10976,N1,,417.67701,5820.0,24.0,0.01972062448644207,,
977,249.0,,21.25783966,92.12156724,0,link,10977,N1,,417.92601,5820.0,24.0,0.01972062448644207,,
978,17.0,A,21.2570551,92.1224165,,bridge,10978,N1,,417.94301,5820.0,24.0,0.01972062448644207,,
979,299.0,,21.25613077,92.12340186,0,link,10979,N1,,418.24201,5820.0,24.0,0.01972062448644207,,
980,2.4,A,21.25520644,92.12438721,,bridge,10980,N1,,418.24440999999996,5820.0,24.0,0.01972062448644207,,
981,274.0,,21.25450462,92.12549215,0,link,10981,N1,,418.51840999999996,5820.0,24.0,0.01972062448644207,,
982,11.1,C,21.2538028,92.12659709,,bridge,10982,N1,,418.52951,5820.0,24.0,0.01972062448644207,,
983,448.0,,21.25212825,92.1286732,0,link,10983,N1,,418.97751,5820.0,24.0,0.01972062448644207,,
984,8.5,C,21.2504537,92.1307493,,bridge,10984,N1,,418.98601,5820.0,24.0,0.01972062448644207,,
985,546.0,,21.24970909,92.1317952,0,link,10985,N1,,419.53201,5820.0,24.0,0.01972062448644207,,
986,2.4,C,21.24896449,92.13284109,,bridge,10986,N1,,419.53441,5820.0,24.0,0.01972062448644207,,
987,450.0,,21.24734537,92.13507265,0,link,10987,N1,,419.98440999999997,5820.0,24.0,0.01972062448644207,,
988,20.7,B,21.24572626,92.13730421,,bridge,10988,N1,,420.00511,5820.0,24.0,0.01972062448644207,,
989,3575.0,,21.23830237,92.14903068,0,link,10989,N1,,423.58011,5820.0,24.0,0.01972062448644207,,
990,2.0,A,21.23087848,92.16075715,,bridge,10990,N1,,423.58211,5820.0,24.0,0.01972062448644207,,
991,198.0,,21.23009701,92.16105665,0,link,10991,N1,,423.78011,5820.0,24.0,0.01972062448644207,,
992,11.3,C,21.22931553,92.16135615,,bridge,10992,N1,,423.79141,5820.0,24.0,0.01972062448644207,,
993,923.0,,21.22541775,92.1615297,0,link,10993,N1,,424.71441,5820.0,24.0,0.01972062448644207,,
994,2.2,B,21.22151998,92.16170326,,bridge,10994,N1,,424.71661,5820.0,24.0,0.01972062448644207,,
995,304.0,,21.22024003,92.16189051,0,link,10995,N1,,425.02061,5820.0,24.0,0.01972062448644207,,
996,10.9,C,21.21896008,92.16207776,,bridge,10996,N1,,425.03151,5820.0,24.0,0.01972062448644207,,
997,195.0,,21.21816807,92.16228087,0,link,10997,N1,,425.22651,5820.0,24.0,0.01972062448644207,,
