Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
0,433698,263.1901769273877,0,0.0,,,532.8464467124213
0,588953,263.2916900168121,0,0.0,,,532.60370204626
0,303467,264.8047861466309,0,0.0,,,532.8687689196505
0,183003,263.05707424454675,0,0.0,,,532.8139694322141
0,492714,262.71775843395244,0,0.0,,,532.8415188153587
0,315302,263.0625050084141,0,0.0,,,533.104604794181
0,396067,261.8932046610339,0,0.0,,,532.7373659246086
0,258445,262.4342710792749,0,0.0,,,532.7575528966111
0,728150,264.3280179494371,0,0.0,,,532.8918478476188
0,767387,262.702665919462,0,0.0,,,532.71742645284
