Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
1,433698,314.32903877221327,1373155,55.458602584814216,"D, D","N102_148, N1_1049",478.53226342929713
1,588953,263.2916900168121,0,0.0,,,532.60370204626
1,303467,265.22545600320706,10191,0.408538785327721,D,N204_38,530.9387143672546
1,183003,263.05707424454675,0,0.0,,,532.8139694322141
1,492714,262.71775843395244,0,0.0,,,532.8415188153587
1,315302,263.0625050084141,0,0.0,,,533.104604794181
1,396067,268.64125380792046,187028,7.49671316337983,D,N1_930,525.9516285550227
1,258445,287.58088235294116,675346,27.13540662166506,"D, D","N207_66, N1_1049",498.6952423863033
1,728150,302.911155025004,1025030,41.338522342313276,D,N102_148,488.7810079432391
1,767387,262.702665919462,0,0.0,,,532.71742645284
