Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
2,433698,404.34213002741296,3673514,150.30129700094105,"C, C, C, C, C, C","N106_30, N2_403, N1_108, N1_816, N2_218, N102_22",369.5619587863523
2,588953,363.1531549845503,2716500,110.44478777036916,"C, C, D, C, C, C, C","N1_850, N106_35, N1_924, N1_920, N1_425, N104_77, N1_823",452.10470540458135
2,303467,554.2482851491815,7825333,329.3074527626983,"C, C, C, C, C, C, C, C, C, C, D, C, D, C, C, C","N1_320, N1_885, N1_924, N102_148, N1_104, N2_541, N1_1049, N1_839, N2_430, N1_837, N1_962, N207_93, N102_12, N1_981, N1_143, N1_278",321.2270781665377
2,183003,329.16351438732625,1705779,68.93707565470417,"C, D, D","N2_356, N204_38, N207_88",441.68715667607825
2,492714,365.2097904948235,2719363,110.84058857096275,"C, C, C, C, C, C","N106_60, N1_905, N1_939, N106_29, N1_161, N2_122",422.11469257211195
2,315302,439.31366497963216,4742317,195.13298769699213,"C, C, C, C, D, C, C, C, C, C, C, C","N1_899, N1_460, N102_83, N106_15, N1_986, N1_865, N106_136, N1_161, N1_520, N207_121, N207_6, N106_51",392.1432643405594
2,396067,342.8656885790711,2128618,86.2696765826376,"C, C, C, C, C, C, C","N208_103, N106_36, N207_63, N1_772, N104_77, N1_38, N1_997",436.64445147068267
2,258445,421.47667459211283,4207634,172.4864310896122,"C, C, D, C, D, C, C","N106_35, N102_148, N1_861, N1_1082, N106_110, N106_116, N2_209",383.8736196505044
2,728150,417.1709763617677,4047412,166.3889825282631,"D, C, C, C, C, C, C, C, C, C, D, C","N1_899, N106_67, N106_81, N104_36, N104_65, N106_3, N104_77, N102_68, N207_95, N104_53, N102_55, N106_90",413.4198715325717
2,767387,374.64843432289547,2882170,117.20902806018707,"C, C, C, C, C, C, C","N207_76, N2_541, N207_6, N104_5, N106_1, N2_121, N104_38",396.59966660954115
