Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
3,433698,869.4081477506484,16505840,738.1200250424828,"C, C, B, B, C, C, B, B, C, B, C, C, B, B, C, C, D, C, B, B, C, D, B, C, C, B, C, C, D, B, B, B, B, C, B, D, C, D","N106_60, N1_821, N102_76, N1_799, N1_32, N1_1049, N1_693, N1_241, N106_30, N1_731, N1_899, N102_83, N1_425, N1_383, N207_76, N207_66, N106_119, N1_386, N1_880, N1_863, N106_76, N1_222, N2_20, N1_989, N2_423, N1_793, N102_146, N1_491, N1_905, N1_923, N1_1055, N2_541, N2_79, N207_88, N207_50, N1_774, N1_498, N1_1015",218.7113515214145
3,588953,862.3961819152723,15911703,708.067951228195,"B, B, B, C, C, B, C, B, C, C, C, C, B, C, D, C, C, D, C, B, C, C, C, C, B, C, C, C, B, C, C, C, B","N1_320, N106_55, N1_15, N1_1049, N104_65, N1_816, N1_207, N1_912, N106_3, N102_33, N2_147, N102_83, N1_996, N2_201, N1_1019, N106_43, N2_430, N1_935, N2_213, N1_513, N1_882, N2_403, N2_203, N1_1012, N102_148, N106_81, N1_990, N106_36, N1_188, N104_67, N208_78, N106_16, N1_503",217.69620707967061
3,303467,842.6706852229412,15388751,682.0650208314865,"C, B, B, C, B, B, B, B, B, C, C, B, C, C, C, C, B, C, B, C, C, C, C, B, D, D, C, C, B, C, B, C, C, C, C, C, C","N106_35, N106_147, N106_55, N1_693, N2_119, N102_119, N204_56, N2_589, N1_203, N106_30, N1_526, N1_460, N1_682, N106_136, N106_29, N2_243, N104_23, N1_515, N106_76, N1_1032, N1_178, N106_110, N1_250, N102_12, N2_122, N2_355, N2_403, N1_994, N1_462, N1_473, N1_861, N1_990, N204_1, N207_63, N1_774, N1_929, N1_843",207.4967421588276
3,183003,703.4938663464013,11373938,487.85871150381746,"C, B, B, C, B, C, C, C, B, B, B, D, C, B, C, B, C, B, B, B, B, B, C, B, C, C, B","N106_35, N2_427, N1_912, N1_862, N207_93, N1_414, N104_71, N207_61, N2_618, N106_52, N1_914, N204_21, N2_3, N1_806, N204_4, N2_687, N2_122, N2_423, N104_60, N102_115, N106_81, N2_232, N208_78, N1_828, N1_38, N102_9, N1_843",213.67028909368585
3,492714,888.6328463566099,16480335,736.2880310950275,"B, C, B, B, B, B, B, C, B, D, C, C, D, C, B, B, B, B, C, C, C, C, B, D, C, C, C, C, C, C, C, B, D, C, C, B, B, C","N1_850, N1_930, N105_1, N104_36, N102_129, N2_647, N102_119, N2_153, N1_406, N1_29, N1_241, N1_731, N1_1017, N1_414, N106_43, N104_71, N106_38, N2_121, N1_199, N1_914, N104_23, N1_924, N106_110, N104_26, N106_56, N1_796, N102_77, N104_77, N106_1, N106_101, N2_383, N204_5, N104_67, N102_65, N106_16, N1_143, N104_38, N1_843",219.00579996248499
3,315302,903.8456063386902,17005140,761.2310309324499,"B, B, C, B, B, B, C, C, B, B, C, B, D, D, C, B, C, C, C, B, D, B, C, C, C, D, C, C, C, B, B, C, B","N1_850, N207_129, N102_131, N102_76, N204_7, N1_211, N2_218, N1_526, N1_460, N1_899, N104_71, N1_421, N1_797, N106_90, N104_81, N102_69, N1_1013, N1_222, N1_802, N1_226, N106_56, N106_142, N1_20, N1_339, N1_905, N1_473, N106_11, N106_81, N2_232, N207_63, N1_446, N2_23, N102_165",213.39628603090694
3,396067,858.8904814732638,15743209,698.611448857333,"B, B, C, C, B, B, B, B, B, C, C, C, C, C, C, C, C, C, D, C, C, C, B, C, B, C, C, D, C, B, C, C, C, C, C, B, C, B","N1_845, N1_930, N1_15, N1_816, N1_862, N2_248, N2_474, N1_41, N2_218, N104_87, N102_83, N106_88, N1_792, N1_650, N104_46, N1_1081, N2_121, N2_36, N2_167, N1_880, N106_76, N1_872, N106_40, N106_51, N1_73, N1_491, N1_462, N1_870, N102_115, N1_188, N1_452, N1_475, N207_16, N208_112, N2_169, N1_981, N1_92, N1_503",198.83551168725793
3,258445,606.9047800984887,9228902,391.78561725250466,"C, C, C, C, C, D, C, C, B, C, C, C, C, B, D, D, C, C, C, B, C, B","N207_129, N1_938, N1_693, N1_862, N104_84, N2_589, N102_22, N1_1017, N1_884, N1_650, N2_167, N1_842, N106_76, N1_222, N1_178, N106_110, N207_47, N1_278, N1_999, N207_63, N204_5, N1_962",283.21585370507887
3,728150,792.8450140696448,13979377,614.6402128033767,"B, B, C, C, C, B, B, B, C, C, C, B, C, D, C, C, B, C, C, C, D, D, D, C, B, B, B, C, D, B","N1_850, N1_161, N1_241, N1_89, N1_46, N1_95, N207_76, N1_800, N104_71, N1_837, N207_1, N2_209, N1_823, N1_85, N106_90, N106_110, N1_918, N1_287, N1_861, N1_1047, N207_8, N207_88, N208_115, N1_188, N2_470, N1_825, N1_953, N104_38, N102_55, N1_503",225.59746679640665
3,767387,961.4358233221931,18237154,823.6452894950772,"B, C, C, C, C, B, D, C, D, C, C, C, B, C, C, C, C, C, B, B, D, C, C, C, C, B, C, C, B, C, C, C, B, C, B, B, C, B","N104_36, N2_169, N2_319, N2_153, N2_248, N204_20, N102_33, N208_62, N207_35, N1_788, N1_899, N207_76, N1_650, N1_800, N204_58, N1_935, N2_209, N2_243, N208_22, N106_86, N1_386, N106_90, N1_776, N102_69, N106_20, N1_918, N106_142, N2_264, N1_782, N1_230, N1_1012, N208_148, N208_103, N1_774, N1_1041, N1_929, N207_6, N102_55",193.10334354762614
