Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
4,433698,1952.4948277960327,45070507,2742.5159425581114,"C, B, B, B, A, C, B, B, B, B, A, A, B, B, B, A, A, B, C, C, A, A, A, C, C, C, A, A, C, C, C, C, C, C, B, D, B, C, C, C, C, A, A, A, A, C, B, C, C, C, A, B, B, A, B, A, B, A, A, A, A, C, C, C, C, C, D, B, C, C, C, C, B, A, A, A, B, C, C, A, A, C, A, A, A, A, A, C, C, A, A, A, A, A, C, A, A, A, A, A, A, B, A, C, A, C, C, A, B, B, A, B, A, B, B, A, A","N1_536, N2_748, N1_949, N1_839, N1_816, N102_119, N102_33, N1_917, N1_1017, N1_885, N106_88, N106_136, N2_245, N1_1076, N207_81, N2_52, N2_137, N106_84, N2_213, N106_76, N2_707, N208_53, N1_197, N1_923, N2_241, N1_1047, N1_774, N1_118, N2_553, N1_930, N1_834, N104_14, N102_84, N106_147, N2_675, N2_307, N2_218, N1_89, N2_656, N1_530, N1_914, N207_134, N2_511, N1_513, N1_369, N106_1, N1_339, N1_677, N2_509, N102_115, N1_990, N1_124, N2_293, N1_188, N1_475, N1_873, N207_114, N1_647, N1_809, N1_165, N1_693, N105_36, N204_56, N2_724, N208_62, N104_78, N2_432, N105_74, N1_837, N1_728, N106_65, N106_15, N102_69, N1_705, N2_96, N2_718, N207_17, N208_73, N1_1061, N106_64, N1_1064, N104_40, N2_403, N104_64, N204_1, N2_541, N2_315, N102_72, N104_67, N1_412, N207_129, N1_1082, N1_826, N2_83, N2_576, N207_45, N1_605, N1_996, N1_140, N106_43, N2_448, N2_356, N1_700, N2_348, N104_89, N106_118, N208_95, N2_279, N1_255, N2_264, N2_440, N2_203, N1_138, N204_3, N207_16, N102_9, N1_1060",72.61770009114338
4,588953,1974.979803112099,47379748,3009.193267704033,"B, A, B, C, C, C, A, A, A, B, B, B, A, A, A, B, A, A, A, B, C, B, B, A, A, A, A, A, A, C, B, C, C, C, A, C, C, A, C, C, A, A, C, C, A, A, B, C, C, B, A, A, A, A, A, C, B, A, A, C, B, C, A, A, B, C, C, C, C, A, C, C, C, C, C, C, C, A, D, B, C, C, B, C, A, A, C, A, B, C, A, A, A, A, A, B, A, A, A, A, A, B, A, A, B, A, A, C, A, A, A, A, B, B, D, C, B, C, B, D, A, C, B, D, A, A, A, B, A, A, A","N2_427, N1_619, N102_76, N2_258, N1_170, N2_69, N104_65, N1_833, N207_72, N1_956, N208_99, N1_414, N2_585, N2_287, N2_318, N102_15, N208_49, N1_849, N208_27, N1_257, N106_130, N1_43, N207_82, N102_133, N1_771, N1_923, N102_85, N106_81, N2_310, N2_23, N1_559, N1_520, N2_553, N1_625, N1_834, N106_147, N1_862, N2_150, N2_147, N1_132, N102_22, N1_908, N1_530, N207_66, N1_1029, N1_479, N2_54, N104_53, N1_914, N2_167, N1_888, N1_780, N1_757, N1_369, N106_56, N102_6, N1_918, N106_1, N1_191, N2_515, N1_793, N207_5, N2_620, N1_363, N106_104, N1_1041, N102_65, N2_149, N1_143, N104_38, N207_6, N1_879, N106_35, N1_165, N1_402, N207_109, N1_852, N208_118, N2_724, N208_93, N1_980, N204_17, N1_976, N204_58, N1_837, N2_263, N1_45, N2_36, N208_16, N104_23, N106_15, N2_586, N1_515, N2_376, N1_183, N2_271, N2_364, N106_11, N1_1007, N1_574, N1_415, N2_383, N2_541, N204_38, N1_857, N106_16, N1_245, N2_324, N2_336, N1_424, N1_808, N207_45, N2_115, N207_76, N1_800, N1_195, N1_823, N105_78, N1_797, N2_348, N2_507, N2_392, N106_110, N1_722, N102_87, N1_870, N2_426, N1_1055, N1_35, N207_88, N1_522",77.45834642411945
4,303467,1633.0819489352214,38183974,2128.663953618018,"B, A, C, B, C, B, B, B, A, B, A, A, B, A, A, A, A, A, A, A, C, C, D, C, A, C, A, C, C, A, C, D, D, C, C, C, C, C, C, A, A, A, C, A, B, C, C, A, D, B, A, A, A, C, C, C, D, B, A, C, A, A, A, A, B, B, A, A, B, A, C, A, A, A, C, B, C, A, A, A, C, C, A, A, A, A, A, C, A, A, A, A, B, B, A, A, A, A, B, C, C, B, B, C, D, B, C, D, B, B, A, A, B","N1_54, N105_31, N102_76, N2_745, N1_816, N2_75, N1_917, N1_372, N1_41, N1_885, N1_628, N1_626, N1_762, N1_814, N2_121, N1_951, N208_122, N2_162, N1_419, N1_924, N1_458, N2_213, N1_863, N1_772, N106_161, N207_52, N2_397, N2_615, N2_23, N1_561, N2_386, N102_1, N1_1034, N2_684, N2_405, N1_1049, N104_18, N2_229, N207_66, N102_41, N208_22, N106_86, N1_842, N1_246, N1_776, N2_511, N1_369, N2_134, N1_230, N105_32, N2_739, N1_189, N1_817, N1_496, N104_72, N106_153, N104_38, N1_809, N1_850, N1_985, N102_131, N106_92, N2_185, N2_699, N204_56, N208_90, N102_83, N1_980, N1_792, N208_72, N204_17, N2_430, N207_61, N2_209, N106_52, N1_178, N2_687, N1_664, N106_59, N106_157, N1_920, N1_962, N106_57, N1_828, N2_694, N1_929, N207_78, N102_165, N1_759, N2_610, N1_112, N1_826, N1_808, N1_788, N1_958, N1_95, N1_996, N208_107, N104_62, N106_116, N2_486, N106_33, N1_565, N1_955, N1_994, N102_148, N207_74, N102_43, N1_1055, N2_426, N207_88, N207_50, N207_16",95.07590266231858
4,183003,1835.332992604173,43833415,2635.6451806866694,"A, A, C, B, C, C, B, B, A, B, B, A, C, A, A, A, B, A, B, C, A, A, A, A, A, A, A, A, C, D, C, C, A, C, C, A, A, D, B, D, B, C, D, C, C, C, C, D, C, A, C, C, A, B, B, C, A, B, C, B, A, A, B, B, A, A, A, B, C, A, C, C, C, D, A, D, B, C, B, A, A, B, A, C, A, B, C, C, A, A, A, A, A, A, A, C, A, A, A, A, A, A, A, A, B, A, A, A, A, C, B, A, B, D, C, D, B, C, B, B","N1_847, N1_816, N1_912, N2_119, N104_84, N2_666, N1_956, N1_917, N2_267, N106_136, N106_152, N1_762, N106_38, N207_41, N2_105, N102_164, N2_311, N2_213, N106_76, N1_772, N1_535, N1_769, N208_65, N1_564, N2_274, N1_520, N2_272, N1_930, N2_143, N1_358, N1_115, N1_875, N208_60, N1_548, N102_97, N2_187, N207_66, N2_157, N2_469, N106_119, N1_842, N2_512, N2_609, N106_40, N1_830, N1_918, N2_421, N208_34, N1_462, N1_831, N1_990, N2_726, N207_5, N1_496, N102_152, N1_809, N1_850, N2_475, N2_607, N1_939, N1_402, N102_4, N204_36, N102_129, N102_66, N204_56, N1_104, N1_208, N1_1027, N2_598, N1_899, N2_201, N104_48, N1_884, N2_430, N1_45, N1_386, N1_108, N1_250, N106_64, N1_813, N1_453, N1_920, N1_962, N2_42, N1_38, N106_16, N207_78, N204_53, N1_1082, N2_336, N2_153, N2_588, N1_482, N106_83, N1_211, N1_788, N106_19, N2_223, N104_20, N1_592, N1_823, N2_618, N1_797, N1_24, N1_455, N1_1032, N106_110, N207_47, N102_77, N1_594, N1_17, N102_87, N1_205, N2_489, N1_1055, N207_88, N208_115, N102_9, N1_755",87.92617001657436
4,492714,1936.2375654450261,44405576,2641.9309852451215,"A, A, A, A, A, C, C, B, C, B, A, A, B, A, A, B, B, B, A, A, A, A, A, A, A, A, A, A, C, B, C, A, A, B, C, A, C, C, C, A, D, C, C, A, A, C, A, A, A, C, C, C, A, A, A, A, B, B, B, B, C, C, C, B, A, C, C, C, C, C, C, A, A, B, A, C, A, A, A, A, A, A, B, A, A, A, A, A, A, A, A, A, A, A, A, A, A, A, A, A, A, A, C, A, A, D, A, A, A, C, B, D, C, A, C, A, A, B","N1_821, N1_619, N1_2, N1_997, N106_13, N207_121, N2_658, N104_8, N2_29, N106_136, N208_66, N102_74, N2_523, N1_328, N204_4, N1_314, N106_161, N207_82, N2_211, N102_121, N1_771, N106_67, N2_241, N1_718, N2_40, N204_27, N2_232, N207_105, N1_330, N1_559, N1_1015, N2_677, N1_865, N2_518, N2_583, N1_744, N1_752, N1_132, N1_659, N102_22, N2_85, N106_30, N2_262, N2_54, N104_53, N1_721, N1_872, N1_369, N1_918, N2_181, N2_180, N2_191, N207_63, N2_231, N1_136, N1_873, N1_76, N1_381, N1_143, N104_38, N2_296, N2_288, N208_120, N1_572, N1_12, N102_102, N1_852, N207_44, N1_1065, N207_93, N1_841, N102_81, N1_104, N104_87, N1_899, N2_27, N2_458, N2_554, N1_1005, N106_65, N208_105, N1_775, N1_16, N102_69, N1_515, N2_643, N102_79, N2_409, N1_1061, N1_1064, N105_52, N207_28, N204_38, N102_72, N106_16, N2_692, N1_1004, N204_32, N1_218, N2_347, N1_818, N1_203, N102_110, N1_819, N2_502, N1_797, N2_268, N104_16, N1_596, N2_457, N1_594, N1_17, N1_892, N102_146, N207_88, N204_3, N207_56, N1_522",62.27035908101002
4,315302,1874.4926488310437,44653115,2690.5950228970837,"C, C, B, C, C, B, B, B, A, A, A, A, A, A, B, B, A, B, A, A, A, B, C, A, C, B, C, C, C, C, C, D, A, C, A, C, A, C, C, D, A, C, C, A, B, B, C, C, A, A, A, B, D, A, C, B, C, A, A, A, A, A, A, C, C, C, C, D, D, A, A, A, B, C, C, A, B, C, A, A, A, A, A, A, C, B, A, A, A, A, A, B, A, A, A, A, A, A, A, C, C, D, C, B, B","N102_99, N2_151, N104_65, N104_1, N2_658, N1_414, N1_1019, N1_1066, N2_342, N106_38, N1_902, N1_967, N1_863, N106_76, N105_5, N102_12, N102_53, N102_133, N1_771, N1_1047, N104_55, N2_470, N1_118, N2_445, N2_669, N1_930, N1_621, N1_1049, N1_553, N1_352, N106_30, N2_282, N207_66, N1_988, N1_789, N2_54, N208_22, N1_806, N2_512, N2_645, N106_155, N1_369, N1_230, N1_801, N2_739, N207_63, N105_47, N2_222, N1_981, N1_374, N1_647, N106_35, N1_165, N102_102, N1_104, N102_83, N1_837, N1_1081, N2_227, N2_25, N106_90, N1_880, N104_23, N105_26, N208_124, N1_178, N2_612, N1_397, N1_570, N2_355, N106_11, N106_157, N2_383, N102_72, N1_828, N2_441, N2_466, N2_14, N105_34, N2_525, N2_330, N1_1004, N1_354, N102_123, N1_83, N2_322, N2_170, N207_76, N102_19, N2_420, N104_89, N2_163, N1_469, N102_24, N1_224, N105_60, N106_95, N1_301, N1_491, N1_205, N1_994, N102_148, N1_378, N2_401, N207_16",86.9493562799828
4,396067,1987.7237586228327,46637603,2898.365732396992,"A, A, B, C, A, A, C, C, B, B, A, A, A, A, A, A, B, A, A, A, A, A, A, C, C, D, C, C, C, D, C, C, C, A, C, C, B, A, A, C, B, A, A, C, C, B, B, C, B, A, B, A, C, A, C, C, C, C, C, B, C, C, B, C, C, C, A, A, B, A, A, C, A, C, C, C, A, A, D, A, A, B, C, B, A, A, C, C, A, B, C, A, C, A, B, C, A, A, A, C, A, A, B, A, A, A, A, A, C, A, A, A, A, B, B, A, C, C, C, C, A, B, B, B, A, C, B, C","N2_427, N106_108, N2_286, N1_839, N1_711, N204_20, N2_580, N102_33, N106_13, N207_35, N1_885, N2_183, N207_46, N1_516, N2_121, N1_902, N1_924, N1_1000, N2_76, N204_4, N2_20, N102_12, N1_1033, N102_133, N1_771, N1_905, N208_103, N1_1047, N204_5, N2_73, N1_774, N2_531, N2_684, N1_726, N104_36, N2_248, N2_640, N102_22, N106_30, N1_526, N1_908, N2_187, N106_29, N1_1029, N2_54, N2_488, N1_709, N1_842, N207_91, N1_872, N1_909, N1_1073, N1_801, N1_636, N105_47, N2_231, N1_136, N1_60, N1_346, N102_65, N1_981, N1_233, N1_809, N1_845, N106_158, N105_46, N104_43, N2_15, N207_93, N102_66, N2_679, N106_24, N1_913, N104_48, N2_449, N1_64, N204_58, N2_209, N1_1081, N106_65, N1_16, N102_69, N2_409, N1_73, N1_388, N1_410, N2_64, N1_959, N2_541, N1_993, N1_962, N1_38, N2_466, N2_169, N207_129, N1_1082, N104_68, N2_330, N2_260, N1_992, N1_788, N1_958, N1_95, N207_67, N106_91, N2_681, N2_356, N1_700, N2_256, N2_747, N104_16, N1_455, N1_557, N2_422, N1_1032, N106_110, N104_26, N2_465, N1_20, N204_59, N2_264, N1_17, N1_892, N2_291, N1_350, N1_943, N1_1002, N2_656",62.6115670287093
4,258445,1599.1485181859002,38257964,2147.393578805568,"B, A, C, C, C, A, C, A, B, A, C, A, A, B, C, B, C, A, A, A, A, A, A, A, A, A, A, A, A, C, A, A, C, A, C, C, C, A, D, C, A, C, C, C, B, A, B, A, A, C, B, C, C, D, C, A, A, D, C, A, C, B, A, A, A, A, B, A, C, A, C, D, D, C, A, A, A, C, C, A, A, A, A, A, A, A, A, A, A, A, A, A, A, B, B, A, A, B, A, A, B, A, C, B, A, B, D, B, D, A, A, A, A, B","N2_304, N2_240, N1_614, N1_816, N1_912, N104_65, N1_253, N105_76, N204_20, N1_956, N1_917, N2_658, N2_622, N1_986, N1_1019, N1_630, N208_28, N106_76, N1_222, N105_59, N1_228, N1_887, N2_655, N207_52, N2_241, N1_740, N1_795, N1_953, N1_606, N106_8, N2_531, N208_44, N1_1049, N1_862, N1_752, N2_290, N2_218, N2_459, N1_551, N207_66, N1_710, N2_464, N1_757, N1_830, N104_5, N102_59, N106_149, N1_21, N2_620, N1_475, N106_26, N1_1041, N1_503, N2_296, N106_35, N1_165, N1_15, N207_49, N105_65, N2_724, N2_679, N1_104, N1_913, N1_899, N1_942, N2_616, N1_884, N2_473, N208_25, N1_272, N104_81, N1_932, N1_174, N106_64, N1_920, N1_959, N1_574, N1_446, N106_57, N1_828, N2_466, N208_112, N105_10, N1_929, N2_123, N1_1082, N1_826, N1_348, N1_83, N1_406, N2_600, N2_735, N1_818, N2_170, N207_45, N208_47, N1_366, N106_145, N104_20, N1_592, N1_394, N106_118, N106_110, N2_457, N2_360, N2_527, N1_565, N102_148, N1_870, N2_564, N207_74, N207_88, N1_1002, N102_92",85.61501325808298
4,728150,1852.6723163841807,45355593,2815.89327621531,"A, C, C, B, B, B, B, C, B, C, A, A, C, A, B, C, B, A, A, A, A, A, A, A, A, D, C, C, C, B, D, C, C, A, C, B, A, C, A, C, A, D, B, B, C, A, A, A, C, C, A, A, A, B, A, B, A, C, B, B, B, C, A, B, A, C, D, A, C, B, C, C, C, D, A, C, B, D, A, A, C, A, C, A, A, A, B, B, A, A, A, A, C, A, A, A, A, C, C, A, A, A, A, A, A, B, A, A, A, A, C, A, A, C, A, A, A, A, A, B, A, A, A","N106_60, N1_320, N2_240, N1_839, N1_816, N104_65, N106_3, N1_649, N1_997, N1_885, N1_1019, N1_921, N106_136, N1_516, N1_212, N207_24, N2_338, N106_84, N1_924, N1_458, N102_74, N106_76, N1_641, N1_222, N1_287, N106_138, N2_241, N1_905, N106_81, N2_494, N1_930, N1_345, N1_621, N1_938, N2_519, N1_862, N2_150, N102_90, N104_58, N2_194, N1_417, N2_187, N1_1029, N208_14, N208_11, N2_70, N1_784, N106_56, N104_5, N1_926, N104_60, N1_189, N207_63, N1_363, N1_143, N1_896, N1_843, N1_850, N1_510, N1_450, N1_939, N1_1062, N106_79, N2_416, N105_65, N204_56, N106_113, N208_62, N208_90, N1_963, N102_83, N2_97, N1_915, N1_837, N2_294, N208_25, N102_31, N106_65, N2_526, N102_64, N2_25, N1_386, N106_90, N1_201, N1_108, N208_77, N1_932, N207_62, N1_978, N2_355, N2_364, N2_737, N104_64, N1_920, N2_703, N1_446, N102_165, N106_48, N1_911, N102_21, N1_788, N2_741, N1_958, N2_115, N102_110, N106_96, N2_223, N207_107, N104_71, N2_356, N2_681, N1_195, N2_443, N208_32, N1_392, N102_24, N2_279, N2_264, N1_17, N2_291, N1_765, N2_720, N208_92",75.99957369974089
4,767387,1793.9666394969724,41959258,2442.900442477876,"A, C, B, A, B, B, B, A, A, A, A, A, C, A, A, A, C, A, C, A, A, C, A, A, C, C, C, A, C, A, C, D, B, C, B, A, C, A, C, C, A, B, B, C, B, B, B, A, C, A, B, C, C, B, A, C, A, C, B, D, C, A, A, C, C, C, A, D, A, C, C, A, C, C, A, A, A, C, A, C, A, A, B, A, C, C, A, A, A, A, A, A, A, A, A, C, D, A, C, C, B, A, B, A, B, D, B, D, C, A, B, A, A, A, B, A","N102_99, N2_166, N2_667, N2_743, N1_661, N102_33, N204_48, N207_35, N1_885, N2_585, N1_650, N1_762, N1_237, N2_650, N2_318, N102_15, N1_902, N1_849, N208_66, N1_257, N208_53, N208_2, N2_189, N1_887, N1_796, N1_804, N102_12, N207_82, N1_98, N207_32, N1_771, N207_39, N1_1063, N207_95, N2_283, N1_938, N104_51, N2_147, N106_114, N2_640, N2_218, N207_66, N2_54, N1_443, N1_783, N1_600, N1_842, N1_914, N1_859, N106_40, N2_305, N102_94, N1_926, N105_35, N1_853, N1_143, N104_38, N207_6, N1_319, N1_843, N1_809, N106_35, N1_693, N2_173, N1_841, N204_56, N1_779, N1_792, N1_730, N208_140, N106_65, N2_103, N102_69, N2_586, N208_124, N1_332, N1_250, N1_260, N106_142, N1_1023, N104_77, N2_406, N1_827, N2_403, N208_97, N204_1, N204_38, N1_446, N1_245, N1_147, N1_356, N2_435, N2_324, N2_153, N106_83, N1_539, N1_605, N106_19, N1_800, N104_20, N104_71, N2_356, N104_16, N102_24, N106_110, N2_264, N208_82, N1_999, N1_943, N207_8, N1_1055, N2_506, N207_88, N207_50, N1_1002, N2_255",80.36911596836224
