road,lrp,lat,lon
N1,LRP074,23.487466273333336,91.02443147999999
N1,LRP075,23.48672736,91.03052222
N1,LRP075a,23.485988446666667,91.03661296
N1,LRP076,23.485249533333334,91.04270369999999
N1,LRP076a,23.484510620000002,91.04879444
N1,LRP077,23.48377170666667,91.05488518
N1,LRP077a,23.483032793333333,91.06097591999999
N1,LRP078,23.48229388,91.06706666
N1,LRP079,23.481554966666668,91.0731574
N1,LRP079a,23.480816053333335,91.07924813999999
N1,LRP080,23.480077140000002,91.08533888
N1,LRP081,23.479338226666666,91.09142962
N1,LRP082,23.478599313333333,91.09752035999999
N1,LRP082a,23.4778604,91.1036111
N1,LRP083,23.478230800000002,91.10840716666667
N1,LRP083a,23.4786012,91.11320323333332
N1,LRP084,23.4789716,91.1179993
N1,LRP084a,23.4789716,91.118166
N1,LRP084b,23.4793327,91.1234716
N1,LRP085,23.4749756,91.1268526
N1,LRP086,23.4706185,91.1302336
N1,LRP087,23.4662614,91.1336146
N1,LRP088,23.4619043,91.1369956
N1,LRP088a,23.4575472,91.14037660000001
N1,LRP089,23.4531901,91.1437576
N1,LRP089a,23.448833,91.1471386
N1,LRP089b,23.4486386,91.1472497
N1,LRP089c,23.446944100000003,91.1481386
N1,LRP090,23.4425274,91.1497774
N1,LRP091,23.437791224999998,91.1530761
N1,LRP092,23.43305505,91.15637480000001
N1,LRP093,23.428318875000002,91.1596735
N1,LRP093a,23.4235827,91.1629722
N1,LRP093b,23.423416,91.1632778
N1,LRP093c,23.4213604,91.167666
N1,LRP094,23.4195271,91.171416
N1,LRP094a,23.417388433333333,91.17583276666666
N1,LRP095,23.415249766666665,91.18024953333334
N1,LRP095a,23.4131111,91.1846663
N1,LRP095b,23.4130556,91.1849163
N1,LRP096,23.411504666666666,91.19036994999999
N1,LRP097,23.40995373333333,91.1958236
N1,LRP098,23.408402799999998,91.20127725
N1,LRP098a,23.406851866666667,91.2067309
N1,LRP099,23.405300933333333,91.21218454999999
N1,LRP099a,23.40375,91.2176382
N1,LRP099b,23.400620316666664,91.22046696666666
N1,LRP100,23.397490633333334,91.22329573333333
N1,LRP101,23.39436095,91.2261245
N1,LRP101a,23.391231266666665,91.22895326666666
N1,LRP101b,23.388101583333334,91.23178203333333
N1,LRP101c,23.3849719,91.2346108
N1,LRP102,23.382564366666667,91.236583
N1,LRP102a,23.380156833333334,91.23855520000001
N1,LRP102b,23.3777493,91.2405274
N1,LRP103,23.373927220000002,91.24307192
N1,LRP104,23.37010514,91.24561644
N1,LRP104a,23.36628306,91.24816095999999
N1,LRP105,23.362460979999998,91.25070548
N1,LRP105a,23.3586389,91.25325
N1,LRP105b,23.3584444,91.2533333
N1,LRP106,23.354099408333333,91.256400375
N1,LRP106a,23.349754416666666,91.25946744999999
N1,LRP107,23.345409425,91.26253452499999
N1,LRP108,23.34218025,91.26512464999999
N1,LRP108a,23.338951075,91.267714775
N1,LRP108b,23.3357219,91.2703049
N1,LRP108c,23.3347219,91.271166
N1,LRP109,23.33120326666667,91.27381413333333
N1,LRP110,23.327684633333334,91.27646226666666
N1,LRP110a,23.324166,91.2791104
N1,LRP110b,23.321092133333334,91.28089756666667
N1,LRP111,23.31801826666667,91.28268473333333
N1,LRP111a,23.3149444,91.2844719
N1,LRP111b,23.31475,91.2845552
N1,LRP111c,23.3096389,91.2861386
N1,LRP112,23.3086944,91.2864163
N1,LRP112a,23.30425,91.288583
N1,LRP113,23.3006111,91.290333
N1,LRP113a,23.296083,91.2914997
N1,LRP113b,23.2959719,91.2915274
N1,LRP114,23.2919163,91.2922219
N1,LRP114a,23.2876663,91.2936386
N1,LRP115,23.283682900000002,91.29600531999999
N1,LRP115a,23.2796995,91.29837203999999
N1,LRP116,23.2757161,91.30073876
N1,LRP117,23.271732699999998,91.30310548
N1,LRP117a,23.2677493,91.3054722
N1,LRP117b,23.2654444,91.3064444
N1,LRP117c,23.2636667,91.30675
N1,LRP118,23.2601111,91.3072778
N1,LRP118a,23.256685066666666,91.30791666666666
N1,LRP119,23.253259033333332,91.30855553333333
N1,LRP119a,23.249833,91.3091944
N1,LRP119b,23.248333,91.3098056
N1,LRP119c,23.2481663,91.3098889
N1,LRP119d,23.2452774,91.3110556
N1,LRP120,23.243083,91.3119167
N1,LRP120a,23.240157066666665,91.31233336666666
N1,LRP120b,23.237231133333335,91.31275003333333
N1,LRP121,23.2343052,91.3131667
N1,LRP121a,23.231499300000003,91.3132222
N1,LRP121b,23.2275549,91.3135278
N1,LRP122,23.2253882,91.3135833
N1,LRP122a,23.221416,91.3137222
N1,LRP122b,23.2184993,91.3143889
N1,LRP123,23.214481006666666,91.31506847333333
N1,LRP123a,23.210462713333335,91.31574804666667
N1,LRP124,23.20644442,91.31642762
N1,LRP124a,23.20258324,91.31713304
N1,LRP125,23.19872206,91.31783845999999
N1,LRP125a,23.19486088,91.31854388
N1,LRP126,23.1909997,91.3192493
N1,LRP126a,23.1866941,91.3212493
N1,LRP126b,23.1866108,91.3212771
N1,LRP127,23.1826382,91.3210827
N1,LRP127a,23.1773604,91.3198049
N1,LRP128,23.172916,91.3205271
N1,LRP128a,23.1681382,91.3213604
N1,LRP128b,23.1680549,91.3213604
N1,LRP129,23.16384216666667,91.3219993
N1,LRP129a,23.159629433333333,91.3226382
N1,LRP130,23.15576208888889,91.32392523333333
N1,LRP130a,23.151894744444444,91.32521226666667
N1,LRP130b,23.1480274,91.3264993
N1,LRP131,23.1471663,91.3266938
N1,LRP131a,23.1433886,91.326666
N1,LRP132,23.1382219,91.3263049
N1,LRP132a,23.135175500000003,91.32711046666667
N1,LRP133,23.1321291,91.32791603333332
N1,LRP133a,23.1290827,91.3287216
N1,LRP133b,23.1234993,91.3311382
N1,LRP134,23.1213327,91.33205490000002
N1,LRP134a,23.1193049,91.3329993
N1,LRP135,23.1164718,91.3347124
N1,LRP136,23.113638700000003,91.33642549999999
N1,LRP136a,23.110259133333336,91.3383669
N1,LRP136b,23.106879566666667,91.34030829999999
N1,LRP137,23.1035,91.3422497
N1,LRP137a,23.1005833,91.3437774
N1,LRP137b,23.0961941,91.3461108
N1,LRP138,23.093333,91.34770350000001
N1,LRP138a,23.0904719,91.34929620000001
N1,LRP139,23.0876108,91.35088890000002
N1,LRP139a,23.0849719,91.3524722
N1,LRP139b,23.0808049,91.3548611
N1,LRP139c,23.0806938,91.3549444
N1,LRP140,23.077545633333333,91.35662033333332
N1,LRP140a,23.074397466666667,91.35829626666667
N1,LRP141,23.0712493,91.3599722
N1,LRP141a,23.0688604,91.3607222
N1,LRP141a,23.0688604,91.3607222
N1,LRP141b,23.0636944,91.3616389
N1,LRP142,23.063527800000003,91.3616389
N1,LRP142a,23.058333233333336,91.36280556666667
N1,LRP143,23.053138666666666,91.36397223333334
N1,LRP143a,23.0479441,91.3651389
N1,LRP144,23.0449719,91.3653611
N1,LRP144a,23.0427774,91.3654444
N1,LRP144b,23.0398052,91.3656111
N1,LRP145,23.035527333333334,91.36557406666667
N1,LRP145a,23.03124946666667,91.36553703333333
N1,LRP146,23.026971600000003,91.3655
N1,LRP146a,23.024156766666668,91.36727756666666
N1,LRP147,23.021341933333336,91.36905513333333
N1,LRP147a,23.018653888888892,91.37168468888889
N1,LRP147b,23.015965844444445,91.37431424444445
N1,LRP148,23.0132778,91.3769438
N1,LRP148a,23.0095556,91.3813604
N1,LRP149,23.006215225,91.38614530000001
N1,LRP150,23.002874849999998,91.3909302
N1,LRP151,22.999534475,91.39571509999999
N1,LRP151a,22.9961941,91.4005
N1,LRP151b,22.993388533333334,91.40366666666667
N1,LRP152,22.990582966666665,91.40683333333332
N1,LRP152a,22.9877774,91.41
N1,LRP152b,22.984770459615383,91.4155613923077
N1,LRP153,22.981763519230768,91.42112278461538
N1,LRP154,22.978756578846152,91.42668417692308
N1,LRP155,22.975749638461537,91.43224556923076
N1,LRP156,22.97274269807692,91.43780696153846
N1,LRP156a,22.969735757692305,91.44336835384615
N1,LRP156b,22.966728817307693,91.44892974615384
N1,LRP157,22.963721876923078,91.45449113846153
N1,LRP158,22.960714936538462,91.46005253076923
N1,LRP159,22.957707996153847,91.46561392307692
N1,LRP160,22.95470105576923,91.47117531538461
N1,LRP160a,22.951694115384615,91.4767367076923
N1,LRP161,22.948687175,91.4822981
N1,LRP162,22.94901355,91.488458
N1,LRP163,22.949339925,91.4946179
N1,LRP163a,22.9496663,91.5007778
N1,LRP163b,22.949583,91.5027778
N1,LRP164,22.9482774,91.50725
N1,LRP164a,22.943352857142855,91.51005148571429
N1,LRP165,22.938428314285712,91.51285297142857
N1,LRP166,22.93350377142857,91.51565445714286
N1,LRP167,22.92857922857143,91.51845594285714
N1,LRP168,22.923654685714286,91.52125742857143
N1,LRP168a,22.918730142857143,91.52405891428572
N1,LRP168b,22.9138056,91.5268604
N1,LRP168b,22.9138056,91.5268604
N1,LRP169,22.9085833,91.5294993
N1,LRP169a,22.9046667,91.5314438
N1,LRP170,22.9003333,91.5333608
N1,LRP170a,22.899444100000004,91.5336108
N1,LRP170b,22.8939997,91.5346941
N1,LRP170c,22.8929719,91.5350274
N1,LRP170d,22.8921663,91.5353052
N1,LRP171,22.8886218,91.53643853999999
N1,LRP172,22.8850773,91.53757188
N1,LRP172a,22.881532800000002,91.53870522
N1,LRP172b,22.877988300000002,91.53983856
N1,LRP173,22.8744438,91.5409719
N1,LRP173a,22.8731382,91.5414441
N1,LRP173b,22.868416,91.5431663
N1,LRP174,22.8657009,91.543784375
N1,LRP174a,22.8629858,91.54440245
N1,LRP174b,22.8602707,91.545020525
N1,LRP175,22.8575556,91.5456386
N1,LRP175a,22.856,91.5457219
N1,LRP175b,22.853509133333333,91.54594413333334
N1,LRP176,22.851018266666667,91.54616636666667
N1,LRP176a,22.8485274,91.5463886
N1,LRP176b,22.8484441,91.5464163
N1,LRP176c,22.8452219,91.5475274
N1,LRP176d,22.8432497,91.5482219
N1,LRP177,22.8401941,91.5490552
N1,LRP177a,22.8372497,91.5492497
N1,LRP178,22.832010880000002,91.55067754000001
N1,LRP178a,22.82677206,91.55210538
N1,LRP179,22.82153324,91.55353322
N1,LRP180,22.81629442,91.55496106
N1,LRP180a,22.8110556,91.5563889
N1,LRP180b,22.808000000000003,91.5579167
N1,LRP180c,22.8059722,91.5589167
N1,LRP181,22.8059444,91.5589167
N1,LRP181a,22.801768366666668,91.56038889999999
N1,LRP182,22.797592333333334,91.5618611
N1,LRP182a,22.7934163,91.5633333
N1,LRP182b,22.7896108,91.5654444
N1,LRP183,22.786814399999997,91.56682383333333
N1,LRP183a,22.784018,91.56820326666667
N1,LRP184,22.7812216,91.5695827
N1,LRP184a,22.7811382,91.5696382
N1,LRP184b,22.7771104,91.5713327
N1,LRP184c,22.7732771,91.5733604
N1,LRP185,22.7730271,91.5734716
N1,LRP185a,22.7693604,91.5756104
N1,LRP185b,22.7661944,91.5779993
N1,LRP186,22.7654722,91.5785549
N1,LRP186a,22.7621944,91.5811382
N1,LRP187,22.758962933333333,91.5839161
N1,LRP187a,22.755731466666667,91.58669400000001
N1,LRP187b,22.7525,91.5894719
N1,LRP188,22.7513333,91.5903608
N1,LRP188a,22.7471586,91.5921783
N1,LRP189,22.7429839,91.5939958
N1,LRP189a,22.7388092,91.5958133
N1,LRP190,22.7346345,91.59763079999999
N1,LRP190a,22.7304598,91.59944829999999
N1,LRP191,22.7262851,91.6012658
N1,LRP191a,22.7221104,91.6030833
N1,LRP192,22.7185549,91.6053056
N1,LRP192a,22.7165556,91.6065556
N1,LRP192b,22.716,91.6069167
N1,LRP193,22.7143889,91.6079444
N1,LRP193a,22.7124167,91.6090556
N1,LRP193b,22.7076111,91.6118056
N1,LRP194,22.7065556,91.6123611
N1,LRP194a,22.706,91.6126944
N1,LRP194b,22.7033056,91.6142222
N1,LRP194c,22.7002222,91.6157778
N1,LRP195,22.696953566666664,91.61736090000001
N1,LRP195a,22.693684933333333,91.618944
N1,LRP196,22.6904163,91.6205271
N1,LRP196a,22.689583,91.6208327
N1,LRP196b,22.685083,91.6228327
N1,LRP197,22.681768066666667,91.62436973333334
N1,LRP197a,22.67845313333333,91.62590676666666
N1,LRP197b,22.6751382,91.6274438
N1,LRP198,22.6743049,91.6277493
N1,LRP198a,22.6733049,91.6280827
N1,LRP198b,22.6722493,91.6285271
N1,LRP198c,22.6678604,91.6301104
N1,LRP199,22.6649167,91.6315549
N1,LRP199a,22.6638333,91.6321382
N1,LRP199b,22.6596667,91.6347219
N1,LRP200,22.6571389,91.636333
N1,LRP200a,22.6543889,91.6381386
N1,LRP200b,22.652777800000003,91.6391663
N1,LRP201,22.6494997,91.640833
N1,LRP201a,22.6489997,91.6411108
N1,LRP201b,22.6452774,91.6430552
N1,LRP202,22.6412125,91.64531446666668
N1,LRP202a,22.6371476,91.64757373333333
N1,LRP203,22.6330827,91.649833
N1,LRP203a,22.630462333333334,91.65139793333333
N1,LRP203b,22.62784196666667,91.65296286666667
N1,LRP204,22.625221600000003,91.6545278
N1,LRP204a,22.6234716,91.6553056
N1,LRP204b,22.6206938,91.6563611
N1,LRP204c,22.6194993,91.6568889
N1,LRP204d,22.6180271,91.6578333
N1,LRP204e,22.6180271,91.6578333
N1,LRP204f,22.6175271,91.65825
N1,LRP205,22.616971600000003,91.65875
N1,LRP205a,22.6168604,91.6588611
N1,LRP205b,22.6123889,91.6622222
N1,LRP206,22.6094444,91.6638333
N1,LRP206a,22.6066296,91.6656479
N1,LRP207,22.6038148,91.6674625
N1,LRP207a,22.601,91.6692771
N1,LRP207b,22.6000556,91.6699438
N1,LRP207c,22.59803696666667,91.6712401
N1,LRP207d,22.596018333333333,91.6725364
N1,LRP208,22.5939997,91.6738327
N1,LRP208a,22.590555233333333,91.675379
N1,LRP209,22.58711076666667,91.6769253
N1,LRP209a,22.5836663,91.6784716
N1,LRP209b,22.5834997,91.6785827
N1,LRP209c,22.580666,91.6799438
N1,LRP209d,22.5779438,91.6811382
N1,LRP210,22.5763604,91.68180490000002
N1,LRP210a,22.5731938,91.6830827
N1,LRP210b,22.5730549,91.6831938
N1,LRP211,22.5679716,91.6846941
N1,LRP211a,22.5664722,91.6851663
N1,LRP211b,22.5641389,91.6859163
N1,LRP211c,22.564,91.6859441
N1,LRP211d,22.5624722,91.6863608
N1,LRP212,22.558416666666666,91.68766633333334
N1,LRP213,22.554361133333334,91.68897186666666
N1,LRP213a,22.5503056,91.6902774
N1,LRP213b,22.5467742625,91.692173275
N1,LRP214,22.543242925,91.69406915
N1,LRP214a,22.5397115875,91.695965025
N1,LRP215,22.53618025,91.6978609
N1,LRP215a,22.5326489125,91.699756775
N1,LRP216,22.529117575,91.70165265
N1,LRP216a,22.5255862375,91.703548525
N1,LRP216b,22.5220549,91.7054444
N1,LRP217,22.518721600000003,91.7055556
N1,LRP217a,22.5165556,91.7065833
N1,LRP217b,22.5161667,91.70675
N1,LRP217c,22.5147222,91.7074444
N1,LRP217d,22.5131389,91.7080833
N1,LRP217e,22.5127778,91.7082222
N1,LRP218,22.5106111,91.7090833
N1,LRP218a,22.5094444,91.7096389
N1,LRP218b,22.5093611,91.7096944
N1,LRP218c,22.5074444,91.7105556
N1,LRP218d,22.5073056,91.7106389
N1,LRP218e,22.503,91.7128056
N1,LRP219,22.500935066666667,91.71375003333333
N1,LRP219a,22.498870133333334,91.71469446666667
N1,LRP219b,22.4968052,91.7156389
N1,LRP220,22.49355515,91.71655081666667
N1,LRP220a,22.4903051,91.71746273333333
N1,LRP221,22.487055050000002,91.71837465
N1,LRP221a,22.483805,91.71928656666667
N1,LRP221b,22.48055495,91.72019848333333
N1,LRP221c,22.4773049,91.7211104
N1,LRP222,22.47361058,91.7229604
N1,LRP222a,22.469916259999998,91.7248104
N1,LRP223,22.46622194,91.7266604
N1,LRP224,22.46252762,91.72851039999999
N1,LRP224a,22.4588333,91.7303604
N1,LRP224b,22.4547499,91.731936875
N1,LRP225,22.450666499999997,91.73351335
N1,LRP226,22.446583099999998,91.73508982499999
N1,LRP226a,22.4424997,91.7366663
N1,LRP226b,22.439434766666665,91.7378978
N1,LRP227,22.436369833333334,91.7391293
N1,LRP227a,22.4333049,91.7403608
N1,LRP227b,22.4307493,91.7415274
N1,LRP227c,22.4304438,91.7417219
N1,LRP228,22.426480833333333,91.74463866666667
N1,LRP229,22.422517866666666,91.74755543333333
N1,LRP229a,22.4185549,91.7504722
N1,LRP229b,22.4157403,91.75179626666667
N1,LRP230,22.412925700000002,91.75312033333333
N1,LRP230a,22.4101111,91.7544444
N1,LRP230b,22.407486025,91.755166625
N1,LRP230c,22.40486095,91.75588884999999
N1,LRP231,22.402235875000002,91.756611075
N1,LRP231a,22.3996108,91.7573333
N1,LRP231b,22.3988608,91.7576667
N1,LRP231c,22.3988052,91.7576667
N1,LRP232,22.3944997,91.7586944
N1,LRP232a,22.3937774,91.7588056
N1,LRP232b,22.3921108,91.75925
N1,LRP232c,22.3892497,91.7605
N1,LRP232d,22.3887497,91.7607222
N1,LRP233,22.3861663,91.7618333
N1,LRP233a,22.3815271,91.7652222
N1,LRP234,22.379310096296297,91.77481787777778
N1,LRP234a,22.37709309259259,91.78441355555556
N1,LRP234b,22.37487608888889,91.79400923333333
N1,LRP235,22.372659085185184,91.80360491111111
N1,LRP235a,22.37044208148148,91.81320058888889
N1,LRP235b,22.368225077777776,91.82279626666667
N1,LRP244b,22.366008074074074,91.83239194444444
N1,LRP245,22.363791070370368,91.84198762222222
N1,LRP245a,22.361574066666666,91.8515833
N1,LRP246,22.358537033333334,91.8523333
N1,LRP246a,22.3555,91.8530833
N1,LRP246b,22.351240633333333,91.85310183333333
N1,LRP247,22.346981266666667,91.85312036666667
N1,LRP247a,22.3427219,91.8531389
N1,LRP247b,22.3423608,91.8530833
N1,LRP248,22.3387497,91.8534722
N1,LRP248a,22.338333,91.8509167
N1,LRP248b,22.3380274,91.85388890000002
N1,LRP248c,22.337388600000004,91.8542778
N1,LRP248d,22.334283544444446,91.85359878888889
N1,LRP249,22.33117848888889,91.85291977777779
N1,LRP249a,22.328073433333333,91.85224076666667
N1,LRP250,22.324675266666667,91.85292593333332
N1,LRP250a,22.321524244444443,91.85372838888888
N1,LRP250b,22.318373222222224,91.85453084444444
N1,LRP250c,22.3152222,91.8553333
N1,LRP251,22.3148889,91.8553889
N1,LRP251a,22.3108333,91.8570278
N1,LRP251a,22.3108333,91.8570278
N1,LRP251b,22.3106111,91.8570833
N1,LRP251c,22.30825,91.8589722
N1,LRP252,22.3071944,91.8598611
N1,LRP252a,22.304305600000003,91.8621667
N1,LRP252b,22.3021667,91.8639444
N1,LRP253,22.299888600000003,91.8655833
N1,LRP253a,22.2950274,91.8671938
N1,LRP254,22.2919441,91.8693327
N1,LRP254a,22.2916663,91.8696382
N1,LRP254b,22.2916108,91.8711382
N1,LRP254c,22.293583,91.8748604
N1,LRP254d,22.294638600000003,91.8770827
N1,LRP255,22.2949163,91.877666
N1,LRP255a,22.296129266666668,91.880555
N1,LRP255b,22.29734223333333,91.883444
N1,LRP256,22.2985552,91.886333
N1,LRP256a,22.3,91.8915552
N1,LRP257,22.3005833,91.892833
N1,LRP257a,22.3015833,91.897333
N1,LRP258,22.3027222,91.9015556
N1,LRP258a,22.304166666666667,91.90530559999999
N1,LRP259,22.305611133333336,91.9090556
N1,LRP259a,22.3070556,91.9128056
N1,LRP259b,22.3096944,91.91575
N1,LRP260,22.3114167,91.9176382
N1,LRP260a,22.3124722,91.9188327
N1,LRP260b,22.3156389,91.9224993
N1,LRP260c,22.3158889,91.9235827
N1,LRP261,22.314750011111112,91.92818458888888
N1,LRP261a,22.313611122222223,91.93278647777778
N1,LRP262,22.312472233333335,91.93738836666667
N1,LRP263,22.311166666666665,91.94255513333334
N1,LRP263a,22.3098611,91.9477219
N1,LRP264,22.307631925,91.9519581
N1,LRP265,22.30540275,91.95619429999999
N1,LRP265a,22.303173575,91.9604305
N1,LRP265b,22.3009444,91.9646667
N1,LRP266,22.2991943,91.9693609
N1,LRP267,22.297444199999997,91.9740551
N1,LRP267a,22.2956941,91.9787493
N1,LRP267b,22.295333,91.9803049
N1,LRP268,22.2934997,91.9816382
N1,LRP268a,22.2933608,91.9821104
N1,LRP268b,22.292083,91.9822493
N1,LRP268c,22.290249666666668,91.98520313333334
N1,LRP269,22.288416333333334,91.98815696666666
N1,LRP269a,22.286583,91.9911108
