Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,7,329655,6215.328282828283,4575435,23108.257575757576,"N1_95, N1_677, N1_810, N1_513, N1_957, N1_473, N1_796, N1_806, N1_1078, N1_313, N1_364, N1_385, N1_161, N1_350, N1_825, N1_914, N1_788, N1_833, N1_374, N1_278, N1_862, N1_32, N1_328, N1_836, N1_21, N1_905, N1_821, N1_460, N1_83, N1_380, N1_188, N1_772, N1_38, N1_850, N1_886, N1_465, N1_808, N1_1027, N1_828, N1_953, N1_20, N1_814, N1_180, N1_839, N1_1041, N1_417, N1_425, N1_431, N1_713, N1_842, N1_301, N1_921, N1_959"
N1,7,257555,6929.28,4741767,189670.68,"N1_67, N1_73, N1_303, N1_677, N1_389, N1_189, N1_548, N1_948, N1_999, N1_12, N1_197, N1_726, N1_788, N1_1019, N1_1049, N1_450, N1_212, N1_823, N1_402, N1_400, N1_143, N1_319, N1_248, N1_538, N1_990, N1_368, N1_949, N1_211, N1_479, N1_776, N1_378, N1_460, N1_849, N1_120, N1_908, N1_797, N1_359, N1_188, N1_89, N1_250, N1_386, N1_446, N1_397, N1_1081, N1_902, N1_996, N1_828, N1_834, N1_16, N1_930, N1_222, N1_195, N1_994, N1_925, N1_784, N1_598, N1_989, N1_323"
N1,7,882811,5655.2203947368425,4409028,14503.381578947368,"N1_67, N1_487, N1_309, N1_592, N1_855, N1_943, N1_348, N1_124, N1_912, N1_226, N1_306, N1_792, N1_825, N1_1049, N1_1000, N1_833, N1_450, N1_381, N1_104, N1_452, N1_205, N1_857, N1_352, N1_935, N1_606, N1_336, N1_526, N1_56, N1_202, N1_849, N1_232, N1_869, N1_199, N1_637, N1_772, N1_564, N1_1068, N1_924, N1_40, N1_930, N1_222, N1_1041, N1_842, N1_598, N1_861, N1_323"
N1,7,383704,5888.946360153257,4435953,16995.988505747126,"N1_458, N1_684, N1_907, N1_147, N1_73, N1_1069, N1_677, N1_500, N1_714, N1_843, N1_92, N1_863, N1_348, N1_984, N1_999, N1_203, N1_298, N1_788, N1_578, N1_520, N1_986, N1_262, N1_1050, N1_865, N1_980, N1_949, N1_849, N1_985, N1_255, N1_605, N1_920, N1_700, N1_797, N1_250, N1_315, N1_675, N1_709, N1_828, N1_884, N1_20, N1_981, N1_46, N1_185, N1_839, N1_994, N1_882, N1_879, N1_1029, N1_899, N1_1049"
N1,7,277037,6685.377551020408,4616843,47110.642857142855,"N1_458, N1_837, N1_942, N1_487, N1_677, N1_1047, N1_515, N1_530, N1_796, N1_806, N1_69, N1_287, N1_201, N1_628, N1_914, N1_544, N1_65, N1_788, N1_1019, N1_1049, N1_833, N1_520, N1_371, N1_710, N1_862, N1_935, N1_27, N1_939, N1_202, N1_776, N1_908, N1_731, N1_911, N1_920, N1_626, N1_797, N1_955, N1_763, N1_36, N1_693, N1_902, N1_1027, N1_541, N1_224, N1_503, N1_180, N1_623, N1_793, N1_982, N1_431, N1_872, N1_619, N1_1038, N1_1056, N1_399, N1_41, N1_645"
N1,7,745562,5630.61858974359,4362667,13982.90705128205,"N1_6, N1_95, N1_957, N1_515, N1_912, N1_201, N1_831, N1_906, N1_363, N1_1082, N1_833, N1_823, N1_104, N1_58, N1_873, N1_736, N1_862, N1_1024, N1_248, N1_538, N1_939, N1_336, N1_818, N1_970, N1_812, N1_120, N1_461, N1_635, N1_446, N1_465, N1_233, N1_902, N1_930, N1_613, N1_195, N1_826, N1_839, N1_1042, N1_749, N1_959, N1_872, N1_817, N1_802, N1_1056, N1_1015, N1_388, N1_424"
N1,7,127841,5112.794621026895,4142228,10127.696821515892,"N1_837, N1_95, N1_940, N1_775, N1_1047, N1_800, N1_310, N1_339, N1_354, N1_197, N1_686, N1_1082, N1_594, N1_853, N1_968, N1_932, N1_375, N1_905, N1_1057, N1_498, N1_199, N1_108, N1_380, N1_886, N1_397, N1_885, N1_1068, N1_924, N1_996, N1_828, N1_981, N1_913, N1_799, N1_882, N1_76, N1_304, N1_734, N1_817, N1_842, N1_921, N1_494"
N1,7,626202,5880.444015444015,4437899,17134.745173745174,"N1_940, N1_880, N1_487, N1_576, N1_372, N1_906, N1_85, N1_197, N1_1044, N1_350, N1_296, N1_65, N1_1000, N1_868, N1_823, N1_330, N1_1009, N1_621, N1_491, N1_821, N1_746, N1_776, N1_731, N1_911, N1_649, N1_165, N1_886, N1_233, N1_762, N1_1062, N1_220, N1_224, N1_631, N1_1001, N1_332, N1_994, N1_644, N1_929, N1_1041, N1_431, N1_801, N1_713, N1_842, N1_817, N1_899, N1_1051, N1_399, N1_1049, N1_789"
N1,7,438451,6487.116788321168,4579508,33427.06569343065,"N1_67, N1_487, N1_677, N1_705, N1_841, N1_1047, N1_957, N1_992, N1_796, N1_343, N1_334, N1_92, N1_888, N1_788, N1_178, N1_1019, N1_833, N1_326, N1_520, N1_710, N1_986, N1_737, N1_894, N1_352, N1_990, N1_905, N1_824, N1_649, N1_920, N1_199, N1_772, N1_786, N1_564, N1_947, N1_448, N1_763, N1_924, N1_930, N1_953, N1_20, N1_805, N1_678, N1_938, N1_224, N1_839, N1_185, N1_952, N1_861, N1_899, N1_1051, N1_399, N1_1049, N1_388, N1_581"
N1,7,549855,5582.90092879257,4382555,13568.28173374613,"N1_73, N1_1028, N1_677, N1_841, N1_775, N1_189, N1_800, N1_592, N1_369, N1_917, N1_978, N1_241, N1_927, N1_32, N1_293, N1_1005, N1_935, N1_845, N1_510, N1_905, N1_460, N1_214, N1_812, N1_824, N1_570, N1_920, N1_246, N1_108, N1_772, N1_165, N1_38, N1_170, N1_934, N1_885, N1_245, N1_271, N1_36, N1_924, N1_962, N1_884, N1_901, N1_930, N1_1062, N1_222, N1_356, N1_952, N1_842, N1_1056, N1_1049, N1_581"
