Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,3,554600,942.0031897926634,479551,382.4170653907496,"N1_774, N1_1047, N1_788, N1_104"
N1,3,512436,905.4405705229794,428566,339.5927099841521,"N1_862, N1_931, N1_850"
N1,3,661155,965.1947115384615,511077,409.5168269230769,"N1_446, N1_918, N1_863"
N1,3,771707,973.4743178170145,517327,415.1902086677368,"N1_837, N1_812, N1_905, N1_841"
N1,3,941123,1038.761943319838,605246,490.0777327935223,"N1_809, N1_801, N1_862, N1_320, N1_990"
N1,3,596349,1132.2940691927513,721313,594.162273476112,"N1_222, N1_870, N1_1000, N1_929, N1_935"
N1,3,345865,1231.6135792120704,842453,706.1634534786253,"N1_788, N1_677, N1_1019, N1_425, N1_862, N1_918"
N1,3,277341,1070.971381847915,654549,535.1995094031071,"N1_870, N1_841, N1_104, N1_165, N1_693"
N1,3,224558,1228.6758563074352,852695,712.360066833751,"N1_89, N1_842, N1_899, N1_947, N1_320, N1_939"
N1,3,869327,1137.9290429042903,744682,614.4240924092409,"N1_95, N1_849, N1_677, N1_178, N1_865, N1_962"
