Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,5,528267,2013.9730250481696,1761469,1696.9836223506743,"N1_828, N1_235, N1_147, N1_914, N1_475, N1_949, N1_45, N1_513, N1_920, N1_515, N1_863, N1_1049, N1_924"
N1,5,512605,2662.417218543046,2424497,2676.045253863135,"N1_931, N1_774, N1_800, N1_796, N1_239, N1_348, N1_161, N1_1082, N1_1019, N1_1000, N1_833, N1_917, N1_143, N1_918, N1_460, N1_89, N1_20, N1_981, N1_320"
N1,5,136065,1873.5446848541862,1606225,1511.030103480715,"N1_95, N1_792, N1_513, N1_1047, N1_782, N1_1017, N1_986, N1_446, N1_899, N1_348, N1_230"
N1,5,338296,2242.4006054490414,2016927,2035.2441977800202,"N1_132, N1_931, N1_903, N1_202, N1_788, N1_875, N1_812, N1_800, N1_212, N1_824, N1_843, N1_386, N1_245, N1_32, N1_226, N1_939"
N1,5,737695,1699.7011807447775,1416326,1286.3996366939145,"N1_938, N1_232, N1_796, N1_104, N1_816, N1_882, N1_188, N1_165, N1_917, N1_1032, N1_397, N1_655"
N1,5,464005,2118.2881022615534,1876425,1845.0589970501476,"N1_132, N1_880, N1_147, N1_1082, N1_788, N1_232, N1_833, N1_873, N1_772, N1_917, N1_929, N1_801, N1_205, N1_861, N1_406"
N1,5,349368,2418.7287958115185,2163963,2265.929842931937,"N1_837, N1_774, N1_843, N1_992, N1_816, N1_1032, N1_650, N1_1015, N1_161, N1_792, N1_104, N1_917, N1_406, N1_935, N1_824, N1_1081, N1_235, N1_839, N1_1049"
N1,5,833734,1822.3755824790308,1578277,1470.901211556384,"N1_828, N1_1082, N1_677, N1_178, N1_460, N1_46, N1_800, N1_782, N1_250, N1_38, N1_92, N1_239, N1_1055"
N1,5,466115,2605.7181719260066,2364678,2573.0990206746465,"N1_837, N1_880, N1_780, N1_774, N1_530, N1_92, N1_348, N1_35, N1_161, N1_914, N1_178, N1_833, N1_823, N1_908, N1_772, N1_850, N1_885, N1_962, N1_994, N1_899"
N1,5,892961,2639.351321585903,2407386,2651.306167400881,"N1_931, N1_800, N1_15, N1_348, N1_124, N1_823, N1_520, N1_935, N1_132, N1_920, N1_199, N1_397, N1_885, N1_233, N1_994, N1_861, N1_847, N1_1049, N1_320"
