Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,4,236002,2445.0063025210084,2191320,2301.8067226890757,"N1_828, N1_837, N1_930, N1_161, N1_849, N1_841, N1_870, N1_460, N1_1049, N1_1081, N1_83, N1_650, N1_986, N1_817, N1_1015, N1_918, N1_320, N1_809"
N1,4,278219,1289.2354430379746,918862,775.4109704641351,"N1_931, N1_920, N1_771, N1_89, N1_861, N1_842"
N1,4,282675,1421.6282495667244,1086606,941.5996533795494,"N1_930, N1_95, N1_996, N1_222, N1_278, N1_1049, N1_935"
N1,4,739895,1814.4911627906977,1518039,1412.1293023255814,"N1_837, N1_828, N1_996, N1_797, N1_108, N1_842, N1_947, N1_817, N1_863, N1_912, N1_902"
N1,4,738677,1879.2309142318568,1618850,1525.7775683317625,"N1_828, N1_95, N1_862, N1_1081, N1_425, N1_650, N1_899, N1_278, N1_143, N1_817, N1_1049, N1_918"
N1,4,433903,1953.8387404580153,1658753,1582.7795801526718,"N1_828, N1_845, N1_880, N1_981, N1_1019, N1_1047, N1_920, N1_1041, N1_986, N1_446, N1_947, N1_1015, N1_809"
N1,4,295797,2074.183414634146,1815519,1771.2380487804878,"N1_792, N1_503, N1_812, N1_994, N1_873, N1_165, N1_650, N1_899, N1_92, N1_912, N1_693, N1_939, N1_962"
N1,4,549698,2121.4793307086616,1877558,1847.990157480315,"N1_930, N1_849, N1_677, N1_776, N1_460, N1_839, N1_1019, N1_800, N1_796, N1_165, N1_89, N1_446, N1_861, N1_32, N1_939"
N1,4,513386,1489.4161545215102,1166717,1024.334503950834,"N1_161, N1_917, N1_1017, N1_386, N1_143, N1_1081, N1_924, N1_918"
N1,4,949718,1756.6186984417966,1464991,1342.7965169569202,"N1_828, N1_161, N1_905, N1_870, N1_841, N1_776, N1_772, N1_650, N1_446, N1_990, N1_996, N1_809"
