Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,1,693113,708.0115473441109,172549,132.83217859892224,N1_850
N1,1,183602,707.07781201849,171445,132.08397534668723,N1_842
N1,1,994883,707.3938461538462,171749,132.11461538461538,N1_850
N1,1,637885,645.1596638655462,89245,68.17799847211612,N1_899
N1,1,111868,708.6140215716487,173923,133.99306625577813,N1_788
N1,1,108757,578.0,0,0.0,
N1,1,834793,578.0,0,0.0,
N1,1,961574,707.8527370855821,172399,132.9213569776407,N1_842
N1,1,486464,578.0,0,0.0,
N1,1,424301,578.0,0,0.0,
