Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,2,826156,645.8237986270022,90020,68.6651411136537,N1_930
N1,2,758017,578.0,0,0.0,
N1,2,346020,708.196003074558,172711,132.75249807840123,N1_850
N1,2,163507,578.0,0,0.0,
N1,2,297588,707.5330769230769,170348,131.03692307692307,N1_1049
N1,2,938322,578.0,0,0.0,
N1,2,477272,837.0990566037735,339049,266.54795597484275,"N1_1049, N1_842"
N1,2,751339,774.3496503496503,257361,199.96969696969697,"N1_1049, N1_899"
N1,2,697883,578.0,0,0.0,
N1,2,905706,836.249213836478,340798,267.92295597484275,"N1_850, N1_842"
